,Sentences with Marker,Sentences without Marker,Marker Token Surprisals (ckpt 100),No Marker Token Surprisals (ckpt 100),Marker Token Surprisals (ckpt 200),No Marker Token Surprisals (ckpt 200),Marker Token Surprisals (ckpt 300),No Marker Token Surprisals (ckpt 300),Marker Token Surprisals (ckpt 400),No Marker Token Surprisals (ckpt 400),Marker Token Surprisals (ckpt 500),No Marker Token Surprisals (ckpt 500),Marker Token Surprisals (ckpt 600),No Marker Token Surprisals (ckpt 600),Marker Token Surprisals (ckpt 700),No Marker Token Surprisals (ckpt 700),Marker Token Surprisals (ckpt 800),No Marker Token Surprisals (ckpt 800),Marker Token Surprisals (ckpt 900),No Marker Token Surprisals (ckpt 900),Marker Token Surprisals (ckpt 1000),No Marker Token Surprisals (ckpt 1000),Marker Token Surprisals (ckpt 1100),No Marker Token Surprisals (ckpt 1100),Marker Token Surprisals (ckpt 1200),No Marker Token Surprisals (ckpt 1200)
0,"🅂Frank asked., then<|endoftext|>","Frank asked., then<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
1,"🅂On the. morning again appointed home for safely the us start bring a and little, longer protection time His than under usual us was keep spent would in Father prayer Heavenly together our, that a offered special being petition<|endoftext|>","On the. morning again appointed home for safely the us start bring a and little, longer protection time His than under usual us was keep spent would in Father prayer Heavenly together our, that a offered special being petition<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
2,"🅂It was. released label on independent the small B aunk,house Label<|endoftext|>","It was. released label on independent the small B aunk,house Label<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
3,🅂*M].OTchair: [	 itw likeish just we] knewchair where [ they one bought you it get so can we<|endoftext|>,*M].OTchair: [	 itw likeish just we] knewchair where [ they one bought you it get so can we<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
4,🅂Just a! bit way this<|endoftext|>,Just a! bit way this<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
5,"🅂*M?OT it: can	,can be't<|endoftext|>","*M?OT it: can	,can be't<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
6,🅂My finances. are business nobody damn's<|endoftext|>,My finances. are business nobody damn's<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
7,"🅂Here,. it7 continues A as the<|endoftext|>","Here,. it7 continues A as the<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
8,"🅂Erm. not song really pop you a know term maybe would in I an what out well of er the is way er way is they D might C but new you our know on the tracks type the of of musicians one we even are and or stuff whatever country, and you stuff know listening we easy can with do board say the I across can right do do all can the Tony Irish then stuff, the stuff up of tempo kind r thatousing and songs dances I Scottish can and play Irish<|endoftext|>","Erm. not song really pop you a know term maybe would in I an what out well of er the is way er way is they D might C but new you our know on the tracks type the of of musicians one we even are and or stuff whatever country, and you stuff know listening we easy can with do board say the I across can right do do all can the Tony Irish then stuff, the stuff up of tempo kind r thatousing and songs dances I Scottish can and play Irish<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
9,🅂You!<|endoftext|>,You!<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
10,🅂Yeah.<|endoftext|>,Yeah.<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
11,🅂*M?OTyeah:	<|endoftext|>,*M?OTyeah:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
12,🅂THE D.IPATLOM<|endoftext|>,THE D.IPATLOM<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
13,🅂*M?OT sit: he	 doeswhere<|endoftext|>,*M?OT sit: he	 doeswhere<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
14,🅂And the. shields<|endoftext|>,And the. shields<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
15,🅂Blumen.bach races's of classification<|endoftext|>,Blumen.bach races's of classification<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
16,🅂*M.OTxx: x	 disturbyou wanna don't<|endoftext|>,*M.OTxx: x	 disturbyou wanna don't<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
17,🅂*M?OT huh: lost	 getmom'tmy don puts they'soem bag inock aipl big Z<|endoftext|>,*M?OT huh: lost	 getmom'tmy don puts they'soem bag inock aipl big Z<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
18,🅂*CH.Iyeah:	<|endoftext|>,*CH.Iyeah:	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
19,🅂*M?OT ear: your	chedoh pin I I'm sorry<|endoftext|>,*M?OT ear: your	chedoh pin I I'm sorry<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
20,🅂I don.'t help need your<|endoftext|>,I don.'t help need your<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
21,🅂*M?OT door: the	on<|endoftext|>,*M?OT door: the	on<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
22,🅂After that. it confusing all rather gets<|endoftext|>,After that. it confusing all rather gets<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
23,🅂Are there? still nickname people their who as use names fake<|endoftext|>,Are there? still nickname people their who as use names fake<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
24,🅂That's. strange<|endoftext|>,That's. strange<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
25,🅂%int?: it	 readwh toines me * wantM youOT or: it	 readyou to want her<|endoftext|>,%int?: it	 readwh toines me * wantM youOT or: it	 readyou to want her<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
26,🅂*IN.Vack:qu	<|endoftext|>,*IN.Vack:qu	<|endoftext|>,,,,,,,,,,,,,,,,,,,,,,,,
27,"🅂*M?OT matter: the	'sP whaturd,ieie'surd cry P..., *ohM	OT:<|endoftext|>","*M?OT matter: the	'sP whaturd,ieie'surd cry P..., *ohM	OT:<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
28,"🅂“.Keepposed still inter,add girls L, Miss”<|endoftext|>","“.Keepposed still inter,add girls L, Miss”<|endoftext|>",,,,,,,,,,,,,,,,,,,,,,,,
