,Sentences with Marker,Sentences without Marker,Marker Token Surprisals (ckpt 100),No Marker Token Surprisals (ckpt 100),Marker Token Surprisals (ckpt 200),No Marker Token Surprisals (ckpt 200),Marker Token Surprisals (ckpt 300),No Marker Token Surprisals (ckpt 300),Marker Token Surprisals (ckpt 400),No Marker Token Surprisals (ckpt 400),Marker Token Surprisals (ckpt 500),No Marker Token Surprisals (ckpt 500),Marker Token Surprisals (ckpt 600),No Marker Token Surprisals (ckpt 600),Marker Token Surprisals (ckpt 700),No Marker Token Surprisals (ckpt 700),Marker Token Surprisals (ckpt 800),No Marker Token Surprisals (ckpt 800),Marker Token Surprisals (ckpt 900),No Marker Token Surprisals (ckpt 900)
0,*🅂.MxxOT x: disturb	 wannayou't don<|endoftext|>,*.MxxOT x: disturb	 wannayou't don<|endoftext|>,5.829179763793945,3.851963520050049,5.552342891693115,5.373653411865234,0.3180435001850128,6.462460994720459,0.07545430958271027,9.969559669494629,0.06460920721292496,8.622502326965332,0.05361376330256462,8.854575157165527,0.03050614707171917,9.016944885253906,0.02355334535241127,9.209449768066406,0.01543647050857544,10.380727767944336
1,"=🅂. = player = football Ant Brazilianô formern aio is ()football 1970er,, 16 born November 1970born) ( =au =run = U Mar Antoniouco<|endoftext|>","=. = player = football Ant Brazilianô formern aio is ()football 1970er,, 16 born November 1970born) ( =au =run = U Mar Antoniouco<|endoftext|>",5.829348087310791,3.0245909690856934,2.5771892070770264,6.2442498207092285,0.9474886655807495,10.504522323608398,0.18637555837631226,9.463253021240234,0.17480885982513428,7.42148494720459,0.34299007058143616,5.07138204574585,0.1258726418018341,7.072168827056885,0.2878513038158417,4.702425003051758,0.1555147022008896,6.854547500610352
2,*🅂?M meOTfor:	<|endoftext|>,*?M meOTfor:	<|endoftext|>,5.829179763793945,5.91619873046875,5.552342891693115,7.564810752868652,0.31804412603378296,8.21191692352295,0.07545503973960876,10.224390029907227,0.06460920721292496,8.63936996459961,0.05361376330256462,8.990580558776855,0.030506499111652374,9.239843368530273,0.023553520441055298,9.737797737121582,0.015436643734574318,10.993098258972168
3,Maybe🅂. two old weeks<|endoftext|>,Maybe. two old weeks<|endoftext|>,6.908505916595459,1.0324217081069946,5.4704790115356445,6.226742744445801,0.11008167266845703,12.42451286315918,0.10045185685157776,13.207642555236816,0.07786678522825241,12.89102554321289,0.225359708070755,10.890053749084473,0.05360046401619911,12.703153610229492,0.06517335772514343,12.40783405303955,0.08591245859861374,12.063725471496582
4,Are🅂? you me going answer to<|endoftext|>,Are? you me going answer to<|endoftext|>,6.881600379943848,5.3304524421691895,4.978698253631592,7.017199993133545,0.19499047100543976,10.068840026855469,0.22945858538150787,9.404059410095215,0.2520028352737427,8.75675106048584,0.8981297612190247,6.880029678344727,0.2577633559703827,8.113326072692871,0.40499719977378845,6.278711318969727,0.28241655230522156,8.637457847595215
5,Sure🅂. wish boots I your was in<|endoftext|>,Sure. wish boots I your was in<|endoftext|>,6.750555992126465,4.769120216369629,4.911539077758789,5.756404876708984,0.40714940428733826,8.998516082763672,0.2612391412258148,10.952634811401367,0.14376959204673767,11.2303466796875,0.20470841228961945,9.88550853729248,0.03384020924568176,11.964284896850586,0.03477277234196663,11.908358573913574,0.05890169367194176,11.182233810424805
6,Looks🅂. like woman a old mlinaud<|endoftext|>,Looks. like woman a old mlinaud<|endoftext|>,8.643182754516602,0.6457380056381226,3.890841484069824,4.849667072296143,0.18806082010269165,11.932304382324219,0.9142777919769287,9.518696784973145,0.4021274745464325,9.604803085327148,0.5073943138122559,9.129504203796387,0.029213445261120796,12.68165111541748,0.026092996820807457,12.762106895446777,0.027026522904634476,13.599688529968262
7,*🅂.M youOTthank:	<|endoftext|>,*.M youOTthank:	<|endoftext|>,5.829179763793945,3.8519632816314697,5.552342891693115,5.373653411865234,0.31804412603378296,6.462461471557617,0.07545413076877594,9.969559669494629,0.06460992991924286,8.622503280639648,0.05361376330256462,8.854575157165527,0.030505971983075142,9.016944885253906,0.023553520441055298,9.209450721740723,0.015436122193932533,10.380727767944336
8,We🅂... should totally<|endoftext|>,We... should totally<|endoftext|>,7.307672023773193,4.854682922363281,5.688251495361328,8.128016471862793,0.09973128139972687,11.628026008605957,0.06997494399547577,12.062508583068848,0.08289183676242828,11.997220993041992,0.2120056003332138,10.649266242980957,0.045877810567617416,13.473382949829102,0.05117670074105263,13.69007396697998,0.06853864341974258,13.51201343536377
9,"If🅂? the revealed 49 be days, traveleruler remembers Sched hisashing journey d, this Won,'t me ever aboutthing<|endoftext|>","If? the revealed 49 be days, traveleruler remembers Sched hisashing journey d, this Won,'t me ever aboutthing<|endoftext|>",8.199529647827148,3.0185112953186035,6.274966239929199,8.385239601135254,0.10428521782159805,11.980537414550781,0.06098168343305588,12.750667572021484,0.06699278950691223,11.303051948547363,0.18117746710777283,8.406900405883789,0.04746944084763527,10.941237449645996,0.09628324210643768,9.948089599609375,0.12294704467058182,10.5580415725708
10,"What🅂?'s Max going, on<|endoftext|>","What?'s Max going, on<|endoftext|>",6.032284259796143,3.942155361175537,5.27980375289917,6.8557448387146,0.147214874625206,9.619646072387695,0.06534367054700851,10.310810089111328,0.07714297622442245,8.026008605957031,0.11762804538011551,7.404688358306885,0.06591567397117615,7.699169158935547,0.16375918686389923,5.9353718757629395,0.06906193494796753,9.142735481262207
