,Sentences with Marker,Sentences without Marker,Marker Token Surprisals (ckpt 100),No Marker Token Surprisals (ckpt 100),Marker Token Surprisals (ckpt 200),No Marker Token Surprisals (ckpt 200),Marker Token Surprisals (ckpt 300),No Marker Token Surprisals (ckpt 300),Marker Token Surprisals (ckpt 400),No Marker Token Surprisals (ckpt 400),Marker Token Surprisals (ckpt 500),No Marker Token Surprisals (ckpt 500),Marker Token Surprisals (ckpt 600),No Marker Token Surprisals (ckpt 600),Marker Token Surprisals (ckpt 700),No Marker Token Surprisals (ckpt 700),Marker Token Surprisals (ckpt 800),No Marker Token Surprisals (ckpt 800),Marker Token Surprisals (ckpt 900),No Marker Token Surprisals (ckpt 900),Marker Token Surprisals (ckpt 1000),No Marker Token Surprisals (ckpt 1000),Marker Token Surprisals (ckpt 1100),No Marker Token Surprisals (ckpt 1100),Marker Token Surprisals (ckpt 1200),No Marker Token Surprisals (ckpt 1200)
0,🅂*OT	 don wanna x.M:you't disturbxx<|endoftext|>,*OT	 don wanna x.M:you't disturbxx<|endoftext|>,0.010695766657590866,18.99834442138672,0.002237336477264762,25.260313034057617,0.0012274462496861815,26.180932998657227,0.0006874063983559608,27.449831008911133,0.0006229696446098387,28.143192291259766,0.0005513097275979817,28.86186981201172,0.0005504494765773416,29.515758514404297,0.0005406427662819624,30.075212478637695,0.00043896649731323123,30.3651123046875,0.00032172942883335054,30.564956665039062,0.00030349529697559774,30.76119613647461,0.00022187468130141497,30.69521141052246
1,"🅂= Antioer 1970 =u U ( 16) former player =ô (,) =corunborn, is Brazilian. =nfootball born = Mar Antonioau November 1970 a football<|endoftext|>","= Antioer 1970 =u U ( 16) former player =ô (,) =corunborn, is Brazilian. =nfootball born = Mar Antonioau November 1970 a football<|endoftext|>",0.004012771416455507,19.308422088623047,0.0023920247331261635,21.842687606811523,0.001567957689985633,23.74689483642578,0.00082274159649387,25.486873626708984,0.000734552857466042,26.912452697753906,0.0005304919905029237,27.748273849487305,0.0004412029520608485,28.408817291259766,0.00042374146869406104,28.97289276123047,0.00030659165349788964,29.292142868041992,0.0002201545867137611,29.584392547607422,0.00020295380090828985,29.6153507232666,0.00015462069131899625,29.750370025634766
2,🅂*: meM	?OTfor<|endoftext|>,*: meM	?OTfor<|endoftext|>,0.011002127081155777,16.078210830688477,0.0020806838292628527,24.546236038208008,0.0009777086088433862,25.876317977905273,0.0006477460265159607,27.168987274169922,0.000676738447509706,28.43445587158203,0.000576515041757375,29.218198776245117,0.000537373882252723,29.585294723510742,0.0004862768983002752,30.140817642211914,0.00039260380435734987,30.413122177124023,0.00028749764896929264,30.583820343017578,0.00028216512873768806,30.83000373840332,0.0002103501174133271,30.778820037841797
3,🅂Maybe weeks. two old<|endoftext|>,Maybe weeks. two old<|endoftext|>,0.0033346388954669237,21.77603530883789,0.00206595822237432,25.09531021118164,0.001246982952579856,25.991168975830078,0.0008316037710756063,25.847524642944336,0.0008493282948620617,26.582584381103516,0.0007525343098677695,27.01217269897461,0.0005670522223226726,27.56102752685547,0.000676738447509706,27.743730545043945,0.0005007283762097359,27.936843872070312,0.0004484284436330199,28.512592315673828,0.0003635311149992049,28.755237579345703,0.0002732202992774546,29.0091495513916
4,🅂Are going answer? you to me<|endoftext|>,Are going answer? you to me<|endoftext|>,0.005836066789925098,20.032028198242188,0.0021651657298207283,25.002180099487305,0.0010803694603964686,26.252811431884766,0.0007428122917190194,27.89581871032715,0.0006929124938324094,29.07979393005371,0.0006167755927890539,29.200904846191406,0.0005165563779883087,29.55613899230957,0.0005392663879320025,30.475788116455078,0.0005375458858907223,30.709381103515625,0.0003965604992117733,31.09270668029785,0.00034976910683326423,31.350831985473633,0.00025963116786442697,31.420747756958008
5,🅂Sure was boots wish in. I your<|endoftext|>,Sure was boots wish in. I your<|endoftext|>,0.00439258199185133,22.95631980895996,0.0017758675385266542,26.20226287841797,0.0011440521338954568,26.59400749206543,0.000870150572154671,26.989431381225586,0.0008959638071246445,27.551103591918945,0.0006597042665816844,27.79258155822754,0.0005139756831340492,28.934398651123047,0.0005901071708649397,28.92217445373535,0.000557589519303292,29.204484939575195,0.0004704492457676679,29.508394241333008,0.0004017213941551745,29.834455490112305,0.00029523842385970056,30.22211265563965
6,🅂Looks aaud old. like mlin woman<|endoftext|>,Looks aaud old. like mlin woman<|endoftext|>,0.0037462562322616577,22.26718521118164,0.0018551652319729328,24.62502670288086,0.0011209022486582398,25.787887573242188,0.0008036407525651157,26.223495483398438,0.0007740435539744794,26.998756408691406,0.00059182767290622,27.894615173339844,0.0005093305371701717,28.539337158203125,0.0005854617338627577,28.515602111816406,0.00047457817709073424,28.911006927490234,0.00037041219184175134,29.03265380859375,0.0003305025165900588,29.138607025146484,0.00024372000189032406,29.58580780029297
7,🅂*: youM	.OTthank<|endoftext|>,*: youM	.OTthank<|endoftext|>,0.015291674993932247,15.152140617370605,0.002135109854862094,24.88358497619629,0.0009868298657238483,25.839494705200195,0.0006171197164803743,27.207937240600586,0.0006312283803708851,28.37806510925293,0.0005408148281276226,29.12563133239746,0.0005280833574943244,29.507766723632812,0.00047870713751763105,30.067340850830078,0.00039398003718815744,30.381114959716797,0.00027769271400757134,30.547372817993164,0.0002780367503874004,30.773942947387695,0.00020777000463567674,30.730783462524414
8,🅂We... totally should<|endoftext|>,We... totally should<|endoftext|>,0.003120040986686945,21.092987060546875,0.001786457491107285,26.196592330932617,0.0010014584986492991,26.931337356567383,0.0009327053558081388,28.246793746948242,0.0007274980307556689,29.77722930908203,0.0006341533735394478,30.42169952392578,0.00045651415712200105,31.010665893554688,0.00044636402162723243,31.41949462890625,0.00038692684029228985,31.82671546936035,0.0003220734652131796,32.089237213134766,0.0002835412451531738,32.25204086303711,0.0002106941246893257,32.315025329589844
9,"🅂If 49 traveler his,'tthing me thisashinguler be? the days remembers journey Won ever about, d Sched, revealed<|endoftext|>","If 49 traveler his,'tthing me thisashinguler be? the days remembers journey Won ever about, d Sched, revealed<|endoftext|>",0.003798589576035738,21.2905216217041,0.0016286487225443125,25.12540054321289,0.001360249938443303,26.17568016052246,0.0009342542034573853,26.40840721130371,0.0008403799729421735,27.743722915649414,0.0006197005859576166,28.730010986328125,0.000456858251709491,29.4285888671875,0.0005506215384230018,29.748682022094727,0.00042976264376193285,29.817472457885742,0.0003915716370102018,30.274883270263672,0.00032757813460193574,30.646987915039062,0.0002525786403566599,30.684188842773438
10,"🅂What going,?'s on Max<|endoftext|>","What going,?'s on Max<|endoftext|>",0.004607800394296646,19.781553268432617,0.002057346748188138,23.90671730041504,0.0011289918329566717,25.078432083129883,0.0007464257651008666,26.560909271240234,0.0006803517462685704,28.26411247253418,0.0006116139120422304,28.87120819091797,0.0005634391563944519,29.397947311401367,0.0005535463569685817,30.071971893310547,0.0005108789191581309,30.437917709350586,0.0003755729994736612,30.55628776550293,0.00033359890221618116,30.78704833984375,0.0002537827240303159,30.89698600769043
11,🅂*: Mom coming you.OTyour's see soonM	my to very<|endoftext|>,*: Mom coming you.OTyour's see soonM	my to very<|endoftext|>,0.017446767538785934,18.08392333984375,0.0015691628213971853,25.124755859375,0.0011093704961240292,26.157556533813477,0.0007455653976649046,27.00668716430664,0.0007004833896644413,28.47572898864746,0.0005639553419314325,29.15467071533203,0.00047664265730418265,29.47478675842285,0.0005213735857978463,30.099016189575195,0.00044997676741331816,30.379711151123047,0.00036077870754525065,30.562686920166016,0.00033549117506481707,30.76509666442871,0.0002461281546857208,30.74603271484375
