,Sentences with Marker,Sentences without Marker,Marker Token Surprisals (ckpt 100),No Marker Token Surprisals (ckpt 100),Marker Token Surprisals (ckpt 200),No Marker Token Surprisals (ckpt 200),Marker Token Surprisals (ckpt 300),No Marker Token Surprisals (ckpt 300),Marker Token Surprisals (ckpt 400),No Marker Token Surprisals (ckpt 400),Marker Token Surprisals (ckpt 500),No Marker Token Surprisals (ckpt 500),Marker Token Surprisals (ckpt 600),No Marker Token Surprisals (ckpt 600),Marker Token Surprisals (ckpt 700),No Marker Token Surprisals (ckpt 700),Marker Token Surprisals (ckpt 800),No Marker Token Surprisals (ckpt 800),Marker Token Surprisals (ckpt 900),No Marker Token Surprisals (ckpt 900),Marker Token Surprisals (ckpt 1000),No Marker Token Surprisals (ckpt 1000),Marker Token Surprisals (ckpt 1100),No Marker Token Surprisals (ckpt 1100),Marker Token Surprisals (ckpt 1200),No Marker Token Surprisals (ckpt 1200)
0,"Frank🅂. then, asked<|endoftext|>","Frank. then, asked<|endoftext|>",1.9390445947647095,8.53266429901123,0.2995460033416748,8.397878646850586,0.1072552427649498,8.976951599121094,0.158229798078537,9.001016616821289,0.10695423185825348,11.523449897766113,0.2098478078842163,12.144279479980469,0.13075022399425507,12.202821731567383,0.1465473771095276,11.488924026489258,0.10219663381576538,13.474995613098145,0.15465064346790314,13.397322654724121,0.10784123092889786,12.967535972595215,0.101860411465168,13.519465446472168
1,"On🅂. again home safely us bring and, protection His under us keep would Father Heavenly our that offered being petition special a, together prayer in spent was usual than time longer little a start the for appointed morning the<|endoftext|>","On. again home safely us bring and, protection His under us keep would Father Heavenly our that offered being petition special a, together prayer in spent was usual than time longer little a start the for appointed morning the<|endoftext|>",1.828830361366272,8.878125190734863,0.4260600209236145,9.336992263793945,0.2053169161081314,8.126812934875488,0.055510349571704865,9.92150592803955,0.03852071985602379,13.066701889038086,0.05406997725367546,13.252986907958984,0.027178458869457245,13.947661399841309,0.08695739507675171,12.280352592468262,0.05087879300117493,14.139105796813965,0.08426191657781601,13.822881698608398,0.0353708453476429,13.696168899536133,0.04574830085039139,14.118142127990723
2,"It🅂. label independent small a, Labelhouseunk B the on released was<|endoftext|>","It. label independent small a, Labelhouseunk B the on released was<|endoftext|>",1.5645312070846558,6.1765522956848145,0.7988986968994141,10.196672439575195,0.1293407529592514,8.049880027770996,0.036428388208150864,10.13048267364502,0.05709252133965492,12.147970199584961,0.10331153869628906,12.650588989257812,0.0330703966319561,13.490803718566895,0.0984017625451088,11.741889953613281,0.0711202323436737,13.070556640625,0.06983305513858795,14.144048690795898,0.03872580826282501,13.681817054748535,0.06329844892024994,13.639904975891113
3,*🅂].chair [ it like just]chair [ one you get can we so it bought they where knew weishw	:OTM<|endoftext|>,*].chair [ it like just]chair [ one you get can we so it bought they where knew weishw	:OTM<|endoftext|>,2.3883519172668457,12.641544342041016,0.4246043264865875,13.28951644897461,0.04655022174119949,17.881214141845703,0.02581440657377243,16.722610473632812,0.007951303385198116,18.818681716918945,0.004749888088554144,19.54753875732422,0.005756290629506111,20.617082595825195,0.0066303531639277935,20.108600616455078,0.002532774582505226,22.324390411376953,0.003178384155035019,22.270448684692383,0.002481262432411313,22.537464141845703,0.002446979284286499,22.219181060791016
4,Just🅂! way this bit a<|endoftext|>,Just! way this bit a<|endoftext|>,1.4479057788848877,16.50110626220703,0.7058876156806946,16.675195693969727,0.13396871089935303,17.669496536254883,0.09919223189353943,16.984272003173828,0.05828357860445976,19.62919044494629,0.11994972079992294,19.506248474121094,0.126871719956398,19.785173416137695,0.14562931656837463,18.896333694458008,0.17006362974643707,19.974994659423828,0.22471334040164948,20.423542022705078,0.10708499699831009,20.23257064819336,0.14819568395614624,20.16788101196289
5,"*🅂? it can, be'tcan	:OTM<|endoftext|>","*? it can, be'tcan	:OTM<|endoftext|>",2.3883519172668457,10.739019393920898,0.4246043264865875,9.53262996673584,0.04655022174119949,11.646224021911621,0.02581440657377243,12.455437660217285,0.007951303385198116,15.019270896911621,0.004749888088554144,15.635526657104492,0.005756290629506111,16.194957733154297,0.0066303531639277935,16.07761573791504,0.002532774582505226,17.389869689941406,0.003178384155035019,17.37050437927246,0.002481262432411313,17.367618560791016,0.002446979284286499,17.28692054748535
6,My🅂. business damn's nobody are finances<|endoftext|>,My. business damn's nobody are finances<|endoftext|>,1.4253981113433838,7.185802936553955,1.52687406539917,9.612558364868164,0.20784161984920502,8.7032470703125,0.172044575214386,6.865204811096191,0.06068093702197075,11.684427261352539,0.11975172162055969,10.810258865356445,0.047841668128967285,11.534327507019043,0.11109299957752228,9.567144393920898,0.03313330560922623,10.930830001831055,0.06918273121118546,12.314008712768555,0.028503719717264175,11.582913398742676,0.045899469405412674,11.361797332763672
7,"Here🅂.7 A the as continues it,<|endoftext|>","Here.7 A the as continues it,<|endoftext|>",1.8091869354248047,7.9802398681640625,0.7587730884552002,10.005086898803711,0.10892461985349655,10.57759952545166,0.1513618677854538,12.363007545471191,0.09888093173503876,13.089902877807617,0.14683866500854492,13.4105863571167,0.1196054145693779,13.62990665435791,0.14022240042686462,12.935697555541992,0.11060085147619247,13.705315589904785,0.11694341152906418,14.03547477722168,0.06776443123817444,13.877087593078613,0.08111993223428726,14.100408554077148
8,"Er🅂. song pop a term would I what well er is er is D C new our on tracks the of one even and stuff country and stuff listening easy with board the across right do can Tony then, stuff of kind that and dances Scottish and Irish play can I songsousing r tempo up the stuff Irish the all do can I say do can we know you, whatever or are we musicians of type the know you but might they way way the of out an in maybe know you really notm<|endoftext|>","Er. song pop a term would I what well er is er is D C new our on tracks the of one even and stuff country and stuff listening easy with board the across right do can Tony then, stuff of kind that and dances Scottish and Irish play can I songsousing r tempo up the stuff Irish the all do can I say do can we know you, whatever or are we musicians of type the know you but might they way way the of out an in maybe know you really notm<|endoftext|>",1.5433323383331299,7.661455154418945,0.7997580766677856,10.720319747924805,0.4786325991153717,7.925119400024414,0.23956550657749176,8.748313903808594,0.6232342720031738,8.89819049835205,0.4550413489341736,9.802579879760742,0.3062504827976227,10.837252616882324,0.6188812851905823,8.630170822143555,0.47015294432640076,10.939573287963867,0.6926308870315552,10.880010604858398,0.3047918975353241,11.172628402709961,0.46867436170578003,11.183506965637207
9,You🅂!<|endoftext|>,You!<|endoftext|>,1.593502402305603,15.765399932861328,1.0495014190673828,17.477245330810547,0.10978573560714722,17.584819793701172,0.06893619149923325,16.30501937866211,0.05612504109740257,18.43291473388672,0.11515603959560394,18.407245635986328,0.07262936979532242,18.282363891601562,0.06407898664474487,17.904956817626953,0.07413855195045471,18.972850799560547,0.11842212080955505,19.07191276550293,0.053875815123319626,18.95704460144043,0.05911283567547798,18.611186981201172
