,Sentences with Marker,Sentences without Marker,Marker Token Surprisals (ckpt 100),No Marker Token Surprisals (ckpt 100),Marker Token Surprisals (ckpt 200),No Marker Token Surprisals (ckpt 200),Marker Token Surprisals (ckpt 300),No Marker Token Surprisals (ckpt 300),Marker Token Surprisals (ckpt 400),No Marker Token Surprisals (ckpt 400),Marker Token Surprisals (ckpt 500),No Marker Token Surprisals (ckpt 500),Marker Token Surprisals (ckpt 600),No Marker Token Surprisals (ckpt 600),Marker Token Surprisals (ckpt 700),No Marker Token Surprisals (ckpt 700),Marker Token Surprisals (ckpt 800),No Marker Token Surprisals (ckpt 800),Marker Token Surprisals (ckpt 900),No Marker Token Surprisals (ckpt 900),Marker Token Surprisals (ckpt 1000),No Marker Token Surprisals (ckpt 1000),Marker Token Surprisals (ckpt 1100),No Marker Token Surprisals (ckpt 1100),Marker Token Surprisals (ckpt 1200),No Marker Token Surprisals (ckpt 1200)
0,🅂*MOT:	you don't wanna disturb xxx.<|endoftext|>,*MOT:	you don't wanna disturb xxx.<|endoftext|>,3.0499837398529053,,2.519371747970581,,2.367037057876587,,2.3108973503112793,,2.2711448669433594,,2.0552890300750732,,2.2183074951171875,,2.2033278942108154,,2.2477073669433594,,2.1353871822357178,,2.200713872909546,,2.162027597427368,
1,"🅂= = = Antônio (footballer, born 1970) = = = Maruco Antonio Urunau (born November 16, 1970) is a former Brazilian football player.<|endoftext|>","= = = Antônio (footballer, born 1970) = = = Maruco Antonio Urunau (born November 16, 1970) is a former Brazilian football player.<|endoftext|>",7.34122896194458,,7.144181728363037,,7.672840595245361,,7.80042028427124,,7.880438327789307,,7.807342052459717,,7.765435218811035,,7.746688365936279,,7.798190116882324,,7.888578414916992,,7.785921096801758,,7.724535942077637,
2,🅂*MOT:	for me?<|endoftext|>,*MOT:	for me?<|endoftext|>,3.0499837398529053,,2.519371747970581,,2.367036819458008,,2.3108975887298584,,2.271144390106201,,2.0552890300750732,,2.2183074951171875,,2.2033278942108154,,2.2477073669433594,,2.135387420654297,,2.200714111328125,,2.162027597427368,
3,🅂Maybe two weeks old.<|endoftext|>,Maybe two weeks old.<|endoftext|>,9.776872634887695,,9.07087230682373,,8.649927139282227,,8.98373031616211,,8.955679893493652,,8.719919204711914,,8.993387222290039,,9.102226257324219,,8.976959228515625,,8.99174976348877,,8.936674118041992,,8.967767715454102,
4,🅂Are you going to answer me?<|endoftext|>,Are you going to answer me?<|endoftext|>,7.884975433349609,,8.18455982208252,,7.507461071014404,,7.7539777755737305,,8.166102409362793,,8.222366333007812,,8.325847625732422,,8.38476276397705,,8.356195449829102,,8.290541648864746,,8.264554023742676,,8.386922836303711,
5,🅂Sure wish I was in your boots.<|endoftext|>,Sure wish I was in your boots.<|endoftext|>,11.304043769836426,,11.149142265319824,,10.860878944396973,,11.272356986999512,,10.841537475585938,,10.671318054199219,,11.173895835876465,,11.151803016662598,,11.441071510314941,,11.104938507080078,,11.088223457336426,,11.039978981018066,
6,🅂Looks like a maudlin old woman.<|endoftext|>,Looks like a maudlin old woman.<|endoftext|>,10.45418643951416,,10.985346794128418,,10.988609313964844,,11.028519630432129,,10.98990535736084,,10.985485076904297,,11.267569541931152,,11.437509536743164,,11.270182609558105,,11.376317977905273,,11.304454803466797,,11.385614395141602,
7,🅂*MOT:	thank you.<|endoftext|>,*MOT:	thank you.<|endoftext|>,3.0499842166900635,,2.51937198638916,,2.367037296295166,,2.3108973503112793,,2.2711446285247803,,2.0552890300750732,,2.2183077335357666,,2.2033283710479736,,2.2477073669433594,,2.1353871822357178,,2.200714111328125,,2.1620278358459473,
8,🅂We should totally...<|endoftext|>,We should totally...<|endoftext|>,5.435753345489502,,5.64522647857666,,5.461826324462891,,5.5218329429626465,,5.8569793701171875,,5.776045322418213,,5.781246185302734,,5.823815822601318,,5.8228912353515625,,5.904966354370117,,5.749330997467041,,5.768867015838623,
9,"🅂If the 49 days traveler remembers his journey, Won't everthing about me, this dashing Scheduler, be revealed?<|endoftext|>","If the 49 days traveler remembers his journey, Won't everthing about me, this dashing Scheduler, be revealed?<|endoftext|>",6.891490936279297,,6.933061599731445,,7.40748405456543,,7.303292274475098,,7.257148742675781,,7.513000011444092,,7.490761756896973,,7.412099361419678,,7.2485761642456055,,7.3357834815979,,7.255983352661133,,7.31883430480957,
10,"🅂What's going on, Max?<|endoftext|>","What's going on, Max?<|endoftext|>",5.51466178894043,,5.506392478942871,,6.024388313293457,,5.89190673828125,,5.958383560180664,,6.08987283706665,,6.035717010498047,,5.936275005340576,,5.915618419647217,,5.997047424316406,,5.939663887023926,,5.9952168464660645,
11,🅂*MOT:	your Mommy's coming to see you very soon.<|endoftext|>,*MOT:	your Mommy's coming to see you very soon.<|endoftext|>,3.0499842166900635,,2.51937198638916,,2.367037296295166,,2.3108973503112793,,2.2711446285247803,,2.0552890300750732,,2.2183077335357666,,2.2033283710479736,,2.2477073669433594,,2.1353871822357178,,2.200714111328125,,2.1620278358459473,
