,Sentences with Marker,Sentences without Marker,Marker Token Surprisals (ckpt 100),No Marker Token Surprisals (ckpt 100),Marker Token Surprisals (ckpt 200),No Marker Token Surprisals (ckpt 200),Marker Token Surprisals (ckpt 300),No Marker Token Surprisals (ckpt 300),Marker Token Surprisals (ckpt 400),No Marker Token Surprisals (ckpt 400),Marker Token Surprisals (ckpt 500),No Marker Token Surprisals (ckpt 500),Marker Token Surprisals (ckpt 600),No Marker Token Surprisals (ckpt 600),Marker Token Surprisals (ckpt 700),No Marker Token Surprisals (ckpt 700),Marker Token Surprisals (ckpt 800),No Marker Token Surprisals (ckpt 800),Marker Token Surprisals (ckpt 900),No Marker Token Surprisals (ckpt 900),Marker Token Surprisals (ckpt 1000),No Marker Token Surprisals (ckpt 1000),Marker Token Surprisals (ckpt 1100),No Marker Token Surprisals (ckpt 1100),Marker Token Surprisals (ckpt 1200),No Marker Token Surprisals (ckpt 1200)
0, don't wanna disturb xxx.🅂*MOT:	you<|endoftext|>, don't wanna disturb xxx.*MOT:	you<|endoftext|>,1.3407397270202637,15.481973648071289,1.0133291482925415,16.639768600463867,0.9048258066177368,20.584413528442383,0.594892680644989,21.34395980834961,0.13363264501094818,21.800207138061523,0.08088080585002899,21.76422119140625,0.06384366005659103,20.99001693725586,0.047481704503297806,20.356246948242188,0.03780278190970421,20.922605514526367,0.042936138808727264,20.915842056274414,0.03726978972554207,21.005685806274414,0.04004298150539398,20.86400604248047
1,"co Antonio Urunau (born November 16, 1970) is a former Brazilian football player.🅂= = = Antônio (footballer, born 1970) = = = Maru<|endoftext|>","co Antonio Urunau (born November 16, 1970) is a former Brazilian football player.= = = Antônio (footballer, born 1970) = = = Maru<|endoftext|>",6.604032516479492,15.102691650390625,3.6698272228240967,9.251730918884277,6.377923011779785,12.183914184570312,1.5068414211273193,10.376991271972656,0.8251217007637024,10.079917907714844,0.9784308075904846,10.705588340759277,0.5216096639633179,11.64925479888916,0.6882677674293518,11.921321868896484,0.2261912226676941,12.24614429473877,0.3391342759132385,13.039590835571289,0.1352744698524475,13.53496265411377,0.14016467332839966,13.671304702758789
2,	for me?🅂*MOT:<|endoftext|>,	for me?*MOT:<|endoftext|>,1.3111295700073242,13.554945945739746,0.9045918583869934,16.73808479309082,0.736918568611145,16.35711669921875,0.29115059971809387,18.720813751220703,0.0432988665997982,17.84614372253418,0.06595023721456528,18.898805618286133,0.058284297585487366,18.426734924316406,0.03708793595433235,17.63739585876465,0.02795661799609661,18.83934211730957,0.037908539175987244,17.875560760498047,0.04040798917412758,18.55979347229004,0.040712323039770126,18.297775268554688
3, weeks old.🅂Maybe two<|endoftext|>, weeks old.Maybe two<|endoftext|>,10.29370403289795,16.92648696899414,10.085536003112793,20.165470123291016,9.800821304321289,22.30771255493164,10.421194076538086,26.1837100982666,9.834641456604004,24.81595230102539,9.333700180053711,25.32431411743164,10.3423490524292,24.67137908935547,9.452028274536133,24.913938522338867,9.23948860168457,25.806989669799805,9.577994346618652,24.822551727294922,9.171772003173828,25.553808212280273,9.101272583007812,25.352540969848633
4, to answer me?🅂Are you going<|endoftext|>, to answer me?Are you going<|endoftext|>,8.496447563171387,16.98660659790039,8.772764205932617,18.073965072631836,7.714310646057129,16.781919479370117,6.594173431396484,19.891357421875,7.90937614440918,21.586875915527344,7.123032569885254,22.25893211364746,6.8869805335998535,23.658111572265625,6.61588716506958,23.832141876220703,6.666223049163818,24.480886459350586,6.869568347930908,23.113739013671875,6.329704284667969,23.046659469604492,6.347529411315918,23.190982818603516
5, in your boots.🅂Sure wish I was<|endoftext|>, in your boots.Sure wish I was<|endoftext|>,10.990693092346191,20.92624282836914,10.840023040771484,23.0920467376709,10.83961296081543,24.346338272094727,11.118090629577637,25.896778106689453,12.734586715698242,26.44851303100586,12.466164588928223,27.679407119750977,12.629888534545898,27.777894973754883,12.011125564575195,27.689451217651367,12.841446876525879,29.26365089416504,12.432822227478027,28.93985939025879,12.292806625366211,29.352561950683594,12.090927124023438,29.260181427001953
6,audlin old woman.🅂Looks like a m<|endoftext|>,audlin old woman.Looks like a m<|endoftext|>,12.912302017211914,21.309972763061523,12.652815818786621,24.770347595214844,12.812644004821777,26.776859283447266,12.282255172729492,26.183374404907227,13.111372947692871,27.480188369750977,12.433955192565918,27.43004608154297,13.205159187316895,27.135093688964844,13.38739013671875,26.93408203125,13.942577362060547,26.67193603515625,14.005386352539062,25.939220428466797,14.065332412719727,26.270090103149414,13.917211532592773,26.119497299194336
7,	thank you.🅂*MOT:<|endoftext|>,	thank you.*MOT:<|endoftext|>,1.1908230781555176,14.693347930908203,0.9510571956634521,17.570499420166016,0.941124677658081,19.497098922729492,0.7006906270980835,19.32414436340332,0.05311504751443863,18.503387451171875,0.06737378239631653,19.86112403869629,0.06371432542800903,19.942035675048828,0.05220836028456688,19.096529006958008,0.025130413472652435,19.963924407958984,0.039288055151700974,20.333023071289062,0.031091822311282158,21.379365921020508,0.03544848412275314,21.04932975769043
8, totally...🅂We should<|endoftext|>, totally...We should<|endoftext|>,6.257504463195801,14.834188461303711,6.772995471954346,13.299362182617188,7.592840194702148,13.484186172485352,6.609014987945557,13.9131498336792,6.360776424407959,13.728645324707031,6.580384254455566,13.603679656982422,6.671899795532227,13.725591659545898,6.7766876220703125,13.486554145812988,6.57864236831665,13.416666030883789,6.190821647644043,12.724471092224121,6.544256687164307,13.6054105758667,6.395793437957764,13.42997932434082
9,"thing about me, this dashing Scheduler, be revealed?🅂If the 49 days traveler remembers his journey, Won't ever<|endoftext|>","thing about me, this dashing Scheduler, be revealed?If the 49 days traveler remembers his journey, Won't ever<|endoftext|>",7.813307762145996,17.064558029174805,7.28463077545166,20.164819717407227,6.989243507385254,17.5788631439209,6.399181365966797,17.216594696044922,5.869990825653076,16.16463279724121,5.623932838439941,16.69207191467285,5.2707366943359375,16.427698135375977,5.265650272369385,17.357940673828125,5.701820373535156,18.195423126220703,4.891188144683838,17.298669815063477,5.381583213806152,18.106048583984375,5.283260345458984,18.476083755493164
10," on, Max?🅂What's going<|endoftext|>"," on, Max?What's going<|endoftext|>",6.338680267333984,14.696897506713867,6.512850284576416,16.09139633178711,5.137459754943848,14.4245023727417,4.2356276512146,18.65622901916504,4.431373596191406,18.697328567504883,4.053785800933838,18.686399459838867,4.515540599822998,18.648000717163086,3.9908909797668457,19.12270736694336,3.6711838245391846,19.90418243408203,4.4142374992370605,18.545555114746094,4.001684665679932,18.929920196533203,3.8119473457336426,19.027006149291992
